
Hello world from worker
{'generation': 46, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 47, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 48, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 49, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 50, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 51, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 52, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 53, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 54, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 55, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 56, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
